,wind_code,sec_name,ar_by_buyer_name,ar_buyer_standard,ar_buyer_subid,cus_name,cus_name_standard,cus_name_subid,ar_buyer_region,cus_region,match_score
430,000004.SZ,国华网安,福建乐游网络科技有限公司,福建乐游网络科技有限公司,29,福建乐游网络科技有限公司,福建乐游网络科技有限公司,11,福建,福建,100
446,000004.SZ,国华网安,福建众邦药业有限公司,福建众邦药业有限公司,30,福建众邦药业有限公司,福建众邦药业有限公司,12,福建,福建,100
462,000004.SZ,国华网安,福建摩格网络科技有限公司,福建摩格网络科技有限公司,31,福建摩格网络科技有限公司,福建摩格网络科技有限公司,13,福建,福建,100
551,000006.SZ,深振业A,天虹商场股份有限公司,天虹商场股份有限公司,2,天虹商场股份有限公司,天虹商场股份有限公司,3,,,100
599,000006.SZ,深振业A,深圳市前海同创汇产业运营管理有限公司,深圳市前海同创汇产业运营管理有限公司,7,深圳市前海同创汇产业运营管理有限公司,深圳市前海同创汇产业运营管理有限公司,6,深圳,深圳,100
619,000006.SZ,深振业A,深圳市南山区建筑工务署,深圳市南山区建筑工务署,9,深圳市南山区建筑工务署,深圳市南山区建筑工务署,8,深圳,深圳,100
814,000007.SZ,全新好,MAPLEPACKINGINDUSTRIAL(H.K.)LIMITED,MAPLEPACKINGINDUSTRIAL(H.K.)LIMITED,6,MAPLEPACKINGINDUSTRIAL(H.K.)LIMITED,MAPLEPACKINGINDUSTRIAL(H.K.)LIMITED,1,,,100
917,000007.SZ,全新好,WANDEINDUSTRIAL(HK)LIMITED,WANDEINDUSTRIAL(HK)LIMITED,12,WANDEINDUSTRIAL(HK)LIMITED,WANDEINDUSTRIAL(HK)LIMITED,2,,,100
1484,000007.SZ,全新好,深圳市正和丰实业有限公司,深圳市正和丰实业有限公司,45,深圳市正和丰实业有限公司,深圳市正和丰实业有限公司,8,深圳,深圳,100
1523,000007.SZ,全新好,深圳粤新商业管理有限公司,深圳粤新商业管理有限公司,47,深圳粤新商业管理有限公司,深圳粤新商业管理有限公司,13,深圳,深圳,100
1712,000007.SZ,全新好,金佳业酒店管理公司,金佳业酒店管理公司,58,金佳业酒店管理公司,金佳业酒店管理公司,15,,,100
1799,000007.SZ,全新好,龙腾世纪广告发展有限公司,龙腾世纪广告发展有限公司,63,龙腾世纪广告发展有限公司,龙腾世纪广告发展有限公司,17,,,100
1940,000010.SZ,美丽生态,义乌市城市投资建设集团有限公司,义乌市城市投资建设集团有限公司,6,义乌市城市投资建设集团有限公司,义乌市城市投资建设集团有限公司,6,,,100
1997,000010.SZ,美丽生态,五矿二十三冶建设集团有限公司,五矿二十三冶建设集团有限公司,8,五矿二十三冶建设集团有限公司,五矿二十三冶建设集团有限公司,9,,,100
2276,000010.SZ,美丽生态,山西鼎盛伟业建设工程有限公司,山西鼎盛伟业建设工程有限公司,18,山西鼎盛伟业建设工程有限公司,山西鼎盛伟业建设工程有限公司,18,山西,山西,100
2412,000010.SZ,美丽生态,正平路桥建设股份有限公司,正平路桥建设股份有限公司,23,正平路桥建设股份有限公司,正平路桥建设股份有限公司,19,,,100
2467,000010.SZ,美丽生态,江苏水北建设工程有限公司,江苏水北建设工程有限公司,25,江苏水北建设工程有限公司,江苏水北建设工程有限公司,20,江苏,江苏,100
2634,000010.SZ,美丽生态,贵阳观山湖投资(集团)产业发展有限公司,贵阳观山湖投资(集团)产业发展有限公司,31,贵阳观山湖投资(集团)产业发展有限公司,贵阳观山湖投资(集团)产业发展有限公司,25,贵阳,贵阳,100
2771,000010.SZ,美丽生态,镇江交通产业集团有限公司,镇江交通产业集团有限公司,36,镇江交通产业集团有限公司,镇江交通产业集团有限公司,27,镇江,镇江,100
2881,000011.SZ,深物业A,华为技术有限公司,华为技术有限公司,1,华为技术有限公司,华为技术有限公司,2,,,100
3049,000011.SZ,深物业A,深圳市福田区政府物业管理中心,深圳市福田区政府物业管理中心,16,深圳市福田区政府物业管理中心,深圳市福田区政府物业管理中心,5,深圳,深圳,100
3094,000011.SZ,深物业A,深圳湾科技发展有限公司,深圳湾科技发展有限公司,20,深圳湾科技发展有限公司,深圳湾科技发展有限公司,6,深圳,深圳,100
3196,000011.SZ,深物业A,阿里巴巴(中国)有限公司,阿里巴巴(中国)有限公司,29,阿里巴巴(中国)有限公司,阿里巴巴(中国)有限公司,9,,,100
3208,000011.SZ,深物业A,阿里巴巴(中国)网络技术有限公司,阿里巴巴(中国)网络技术有限公司,30,阿里巴巴(中国)网络技术有限公司,阿里巴巴(中国)网络技术有限公司,10,,,100
3242,000011.SZ,深物业A,顺丰科技有限公司,顺丰科技有限公司,33,顺丰科技有限公司,顺丰科技有限公司,11,,,100
3467,000017.SZ,深中华A,济南禹欣泰销售有限责任公司,济南禹欣泰销售有限责任公司,6,济南禹欣泰销售有限责任公司,济南禹欣泰销售有限责任公司,1,济南,济南,100
3476,000017.SZ,深中华A,深圳市加浩松科技有限公司,深圳市加浩松科技有限公司,8,深圳市加浩松科技有限公司,深圳市加浩松科技有限公司,2,深圳,深圳,100
3485,000017.SZ,深中华A,深圳市博亿能科技有限公司,深圳市博亿能科技有限公司,10,深圳市博亿能科技有限公司,深圳市博亿能科技有限公司,3,深圳,深圳,100
3490,000017.SZ,深中华A,深圳市威特瑞新能源科技有限公司,深圳市威特瑞新能源科技有限公司,11,深圳市威特瑞新能源科技有限公司,深圳市威特瑞新能源科技有限公司,4,深圳,深圳,100
3575,000021.SZ,深科技,ResMed Asia Operations Pty Limited,ResMed Asia Operations Pty Limited,6,ResMed,ResMed,5,,,100
3583,000021.SZ,深科技,ResMedAsiaOperationsPtyLimited,ResMedAsiaOperationsPtyLimited,7,ResMed,ResMed,5,,,100
3714,000021.SZ,深科技,华为技术有限公司,华为技术有限公司,23,华为,华为,8,,,100
3722,000021.SZ,深科技,华为终端有限公司,华为终端有限公司,24,华为,华为,8,,,100
3923,000025.SZ,特力A,毛海涛,毛海涛,10,毛海涛,毛海涛,3,,,100
3998,000025.SZ,特力A,深圳市星光达珠宝首饰实业有限公司,深圳市星光达珠宝首饰实业有限公司,15,深圳市星光达珠宝首饰实业有限公司,深圳市星光达珠宝首饰实业有限公司,8,深圳,深圳,100
4225,000025.SZ,特力A,邓德兵,邓德兵,31,邓德兵,邓德兵,11,,,100
4344,000026.SZ,飞亚达,华润(深圳)有限公司,华润(深圳)有限公司,5,华润(深圳)有限公司,华润(深圳)有限公司,2,深圳,深圳,100
4356,000026.SZ,飞亚达,华润新鸿基房地产(杭州)有限公司,华润新鸿基房地产(杭州)有限公司,6,华润新鸿基房地产(杭州)有限公司,华润新鸿基房地产(杭州)有限公司,3,杭州,杭州,100
4551,000027.SZ,深圳能源,ElectricityCompanyofGhanaLimited,ElectricityCompanyofGhanaLimited,3,ElectricityCompanyofGhana,ElectricityCompanyofGhana,1,,,100
4632,000027.SZ,深圳能源,内蒙古东部电力有限公司,内蒙古东部电力有限公司,8,内蒙古东部电力有限公司,内蒙古东部电力有限公司,2,,,100
4637,000027.SZ,深圳能源,内蒙古东部电力有限公司,内蒙古东部电力有限公司,8,国网内蒙古东部电力有限公司,国网内蒙古东部电力有限公司,7,,,100
4649,000027.SZ,深圳能源,加纳电力公司,加纳电力公司,9,加纳电力公司 ECG,加纳电力公司 ECG,3,,,100
4650,000027.SZ,深圳能源,加纳电力公司,加纳电力公司,9,加纳电力公司(ECG),加纳电力公司(ECG),4,,,100
4651,000027.SZ,深圳能源,加纳电力公司,加纳电力公司,9,加纳电力公司ECG,加纳电力公司ECG,5,,,100
4680,000027.SZ,深圳能源,国网内蒙古东部电力有限公司,国网内蒙古东部电力有限公司,11,内蒙古东部电力有限公司,内蒙古东部电力有限公司,2,,,100
4685,000027.SZ,深圳能源,国网内蒙古东部电力有限公司,国网内蒙古东部电力有限公司,11,国网内蒙古东部电力有限公司,国网内蒙古东部电力有限公司,7,,,100
4703,000027.SZ,深圳能源,国网江苏省电力有限公司,国网江苏省电力有限公司,12,国网江苏省电力有限公司,国网江苏省电力有限公司,9,江苏,江苏,100
4738,000027.SZ,深圳能源,广东电网公司,广东电网公司,14,广东电网公司,广东电网公司,12,广东,广东,100
4754,000027.SZ,深圳能源,广东电网公司惠州供电局,广东电网公司惠州供电局,15,广东电网公司,广东电网公司,12,广东,广东,100
4770,000027.SZ,深圳能源,广东电网公司惠州供电局(惠州供电局),广东电网公司惠州供电局(惠州供电局),16,广东电网公司,广东电网公司,12,广东,广东,100
4786,000027.SZ,深圳能源,广东电网公司深圳供电局,广东电网公司深圳供电局,17,广东电网公司,广东电网公司,12,广东,广东,100
4802,000027.SZ,深圳能源,广东电网公司深圳供电局(深圳供电局),广东电网公司深圳供电局(深圳供电局),18,广东电网公司,广东电网公司,12,广东,广东,100
4819,000027.SZ,深圳能源,广东电网有限责任公司,广东电网有限责任公司,19,广东电网有限责任公司,广东电网有限责任公司,13,广东,广东,100
4878,000027.SZ,深圳能源,新疆电力有限公司,新疆电力有限公司,23,国网新疆电力有限公司,国网新疆电力有限公司,8,,,100
4900,000027.SZ,深圳能源,江苏省电力公司,江苏省电力公司,24,江苏省电力公司,江苏省电力公司,14,江苏,江苏,100
4911,000027.SZ,深圳能源,江苏省电力有限公司,江苏省电力有限公司,25,国网江苏省电力有限公司,国网江苏省电力有限公司,9,江苏,江苏,100
4928,000027.SZ,深圳能源,河北省电力公司,河北省电力公司,26,国网河北省电力公司,国网河北省电力公司,10,河北,河北,100
4966,000027.SZ,深圳能源,深圳市城市管理局,深圳市城市管理局,28,深圳市城市管理局,深圳市城市管理局,16,深圳,深圳,100
4999,000030.SZ,富奥股份,一汽-大众汽车有限公司,一汽-大众汽车有限公司,1,一汽-大众汽车有限公司,一汽-大众汽车有限公司,1,,,100
5013,000030.SZ,富奥股份,一汽丰田汽车有限公司,一汽丰田汽车有限公司,2,一汽丰田汽车有限公司,一汽丰田汽车有限公司,3,,,100
5023,000030.SZ,富奥股份,一汽大众汽车有限公司,一汽大众汽车有限公司,3,一汽-大众汽车有限公司,一汽-大众汽车有限公司,1,,,90
5038,000030.SZ,富奥股份,一汽奔腾轿车有限公司,一汽奔腾轿车有限公司,4,一汽奔腾轿车有限公司,一汽奔腾轿车有限公司,4,,,100
5051,000030.SZ,富奥股份,一汽解放汽车有限公司,一汽解放汽车有限公司,5,一汽解放汽车有限公司,一汽解放汽车有限公司,5,,,100
5064,000030.SZ,富奥股份,一汽解放青岛汽车有限公司,一汽解放青岛汽车有限公司,6,一汽解放青岛汽车有限公司,一汽解放青岛汽车有限公司,6,青岛,青岛,100
5078,000030.SZ,富奥股份,一汽轿车股份有限公司,一汽轿车股份有限公司,7,一汽轿车股份有限公司,一汽轿车股份有限公司,8,,,100
5079,000030.SZ,富奥股份,一汽轿车股份有限公司,一汽轿车股份有限公司,7,中国第一汽车股份有限公司,中国第一汽车股份有限公司,9,,,95
5090,000030.SZ,富奥股份,中国第一汽车股份有限公司,中国第一汽车股份有限公司,8,一汽轿车股份有限公司,一汽轿车股份有限公司,8,,,95
5091,000030.SZ,富奥股份,中国第一汽车股份有限公司,中国第一汽车股份有限公司,8,中国第一汽车股份有限公司,中国第一汽车股份有限公司,9,,,100
5116,000030.SZ,富奥股份,大众一汽平台零部件有限公司,大众一汽平台零部件有限公司,10,大众一汽平台零部件有限公司,大众一汽平台零部件有限公司,10,,,100
5129,000030.SZ,富奥股份,大众汽车自动变速器(天津)有限公司,大众汽车自动变速器(天津)有限公司,11,大众汽车自动变速器(天津)有限公司,大众汽车自动变速器(天津)有限公司,11,天津,天津,100
5819,000032.SZ,深桑达A,CHINA PACIFIC RIM LIMITED,CHINA PACIFIC RIM LIMITED,4,CHINA PACIFIC RIM LIMITED,CHINA PACIFIC RIM LIMITED,1,,,100
5905,000032.SZ,深桑达A,SUNSONNY INTERNATIONAL GROUP LTD,SUNSONNY INTERNATIONAL GROUP LTD,11,SUNSONNY INTERNATIONAL GROUP LTD,SUNSONNY INTERNATIONAL GROUP LTD,3,,,100
5917,000032.SZ,深桑达A,SUNSONNYINTERNATIONALGROUP,SUNSONNYINTERNATIONALGROUP,12,SUNSONNY INTERNATIONAL GROUP LTD,SUNSONNY INTERNATIONAL GROUP LTD,3,,,92
5929,000032.SZ,深桑达A,SUNSONNYINTERNATIONALGROUPLTD,SUNSONNYINTERNATIONALGROUPLTD,13,SUNSONNY INTERNATIONAL GROUP LTD,SUNSONNY INTERNATIONAL GROUP LTD,3,,,90
6246,000032.SZ,深桑达A,杭州吉海信息科技有限公司,杭州吉海信息科技有限公司,39,杭州吉海信息科技有限公司,杭州吉海信息科技有限公司,8,杭州,杭州,100
6445,000034.SZ,神州数码,北京市国顺泰科贸易有限公司,北京市国顺泰科贸易有限公司,6,北京市国顺泰科贸有限公司,北京市国顺泰科贸有限公司,2,北京,北京,92
6519,000035.SZ,中国天楹,AYUNTAMIENTO DE BARCELONA,AYUNTAMIENTO DE BARCELONA,3,AYUNTAMIENTODEBARCELONA,AYUNTAMIENTODEBARCELONA,5,,,91
6556,000035.SZ,中国天楹,AYUNTAMIENTO DE MADRID,AYUNTAMIENTO DE MADRID,5,AYUNTAMIENTODEMADRID,AYUNTAMIENTODEMADRID,6,,,90
6610,000035.SZ,中国天楹,"AYUNTAMIENTODEMADRID(URBASER,S.A./UTEDEHESAS/UTERECOGIDASURDEMADRID)","AYUNTAMIENTODEMADRID(URBASER,S.A./UTEDEHESAS/UTERECOGIDASURDEMADRID)",8,AYUNTAMIENTODEMADRID,AYUNTAMIENTODEMADRID,6,,,100
6625,000035.SZ,中国天楹,"ECOEMBALAJES ESPANA, S.A.","ECOEMBALAJES ESPANA, S.A.",9,"AJUNTAMENTDEPALMA/ECOEMBALAJESESPANA,S.A","AJUNTAMENTDEPALMA/ECOEMBALAJESESPANA,S.A",3,,,94
6831,000035.SZ,中国天楹,国网山东省电力公司,国网山东省电力公司,20,国网山东省电力公司滨州供电公司,国网山东省电力公司滨州供电公司,11,山东,山东,100
6849,000035.SZ,中国天楹,国网山东省电力公司滨州供电公司,国网山东省电力公司滨州供电公司,21,国网山东省电力公司滨州供电公司,国网山东省电力公司滨州供电公司,11,山东,山东,100
6868,000035.SZ,中国天楹,国网江苏省电力公司,国网江苏省电力公司,22,国网江苏省电力公司,国网江苏省电力公司,12,江苏,江苏,100
6994,000035.SZ,中国天楹,江苏省电力公司,江苏省电力公司,29,国网江苏省电力公司,国网江苏省电力公司,12,江苏,江苏,100
7163,000037.SZ,深南电A,中国机械设备工程股份有限公司,中国机械设备工程股份有限公司,3,中国机械设备工程股份有限公司,中国机械设备工程股份有限公司,3,,,100
7217,000037.SZ,深南电A,中电建湖北电力建设有限公司,中电建湖北电力建设有限公司,7,中电建湖北电力建设有限公司,中电建湖北电力建设有限公司,5,湖北,湖北,100
7260,000037.SZ,深南电A,深圳供电局有限公司,深圳供电局有限公司,10,深圳供电局有限公司,深圳供电局有限公司,9,深圳,深圳,100
7275,000037.SZ,深南电A,深圳市水务局,深圳市水务局,11,深圳市水务局,深圳市水务局,11,深圳,深圳,100
7342,000039.SZ,中集集团,Compagnie Maritime d’Affretement,Compagnie Maritime d’Affretement,3,Compagnie Maritime D’Affretement,Compagnie Maritime D’Affretement,3,,,97
7475,000039.SZ,中集集团,Mediterranean Shipping Co. S.A.,Mediterranean Shipping Co. S.A.,10,Mediterranean Shipping Co. SA,Mediterranean Shipping Co. SA,10,,,97
7536,000039.SZ,中集集团,TAL International Container Corporation,TAL International Container Corporation,13,TritonContainerInternationalLimitedc/oTALInternationalContainerCorporation,TritonContainerInternationalLimitedc/oTALInternationalContainerCorporation,17,,,94
7571,000039.SZ,中集集团,Triton Container International Ltd.,Triton Container International Ltd.,15,Triton Container Intenational Limited,Triton Container Intenational Limited,16,,,91
7775,000042.SZ,中洲控股,深圳市汇海置业有限公司,深圳市汇海置业有限公司,22,深圳市汇海置业有限公司,深圳市汇海置业有限公司,1,深圳,深圳,100
8013,000048.SZ,京基智农,南海镇南饲料店区叙安,南海镇南饲料店区叙安,17,南海镇南饲料店区叙安,南海镇南饲料店区叙安,1,,,100
8259,000048.SZ,京基智农,深圳南山区王伟国,深圳南山区王伟国,34,深圳南山区王伟国,深圳南山区王伟国,9,深圳,深圳,100
8275,000048.SZ,京基智农,深圳市坂田物业管理有限公司,深圳市坂田物业管理有限公司,35,深圳市坂田物业管理有限公司,深圳市坂田物业管理有限公司,11,深圳,深圳,100
8402,000048.SZ,京基智农,珠海市年丰水产养殖有限公司,珠海市年丰水产养殖有限公司,44,珠海市年丰水产养殖有限公司(顾春官),珠海市年丰水产养殖有限公司(顾春官),12,珠海,珠海,100
8416,000048.SZ,京基智农,珠海年丰水产养殖有限公司,珠海年丰水产养殖有限公司,45,珠海市年丰水产养殖有限公司(顾春官),珠海市年丰水产养殖有限公司(顾春官),12,珠海,珠海,92
8430,000048.SZ,京基智农,珠海年丰水产养殖有限公司(顾春官),珠海年丰水产养殖有限公司(顾春官),46,珠海市年丰水产养殖有限公司(顾春官),珠海市年丰水产养殖有限公司(顾春官),12,珠海,珠海,94
8700,000058.SZ,深赛格,AdvancedSolTechSwedenAB(publ),AdvancedSolTechSwedenAB(publ),2,AdvancedSoltechSwedenAB(publ).,AdvancedSoltechSwedenAB(publ).,1,,,97
8725,000058.SZ,深赛格,AdvancedSolTechSwedenAB(publ).,AdvancedSolTechSwedenAB(publ).,3,AdvancedSoltechSwedenAB(publ).,AdvancedSoltechSwedenAB(publ).,1,,,97
8952,000058.SZ,深赛格,中山大学附属第七医院(深圳),中山大学附属第七医院(深圳),12,中山大学附属第七医院(深圳),中山大学附属第七医院(深圳),3,深圳,深圳,100
9105,000058.SZ,深赛格,新疆中迪通讯设备有限公司,新疆中迪通讯设备有限公司,18,新疆中迪通讯设备有限公司,新疆中迪通讯设备有限公司,6,,,100
9358,000058.SZ,深赛格,深圳市公安局交通警察局,深圳市公安局交通警察局,28,深圳市公安局交通警察局,深圳市公安局交通警察局,9,深圳,深圳,100
9359,000058.SZ,深赛格,深圳市公安局交通警察局,深圳市公安局交通警察局,28,深圳市公安局交通警察局(办公楼物业管理费),深圳市公安局交通警察局(办公楼物业管理费),10,深圳,深圳,100
9383,000058.SZ,深赛格,深圳市公安局交通警察局小区,深圳市公安局交通警察局小区,29,深圳市公安局交通警察局,深圳市公安局交通警察局,9,深圳,深圳,100
9489,000058.SZ,深赛格,深圳市康网科技有限公司,深圳市康网科技有限公司,33,深圳市康网科技有限公司,深圳市康网科技有限公司,15,深圳,深圳,100
9516,000058.SZ,深赛格,深圳市沃德沃实业有限公司,深圳市沃德沃实业有限公司,34,深圳市沃德沃实业有限公司,深圳市沃德沃实业有限公司,17,深圳,深圳,100
9542,000058.SZ,深赛格,深圳市润能数码科技有限公司,深圳市润能数码科技有限公司,35,深圳市润能数码科技有限公司,深圳市润能数码科技有限公司,18,深圳,深圳,100
9721,000058.SZ,深赛格,红星美凯龙家居集团股份有限公司,红星美凯龙家居集团股份有限公司,42,红星美凯龙,红星美凯龙,22,,,100
9824,000058.SZ,深赛格,龙焱能源科技(杭州)有限公司,龙焱能源科技(杭州)有限公司,46,龙焱能源科技(杭州)有限公司,龙焱能源科技(杭州)有限公司,25,杭州,杭州,100
9827,000059.SZ,华锦股份,中化石油有限公司,中化石油有限公司,1,中化石油有限公司,中化石油有限公司,3,,,100
10905,000059.SZ,华锦股份,辽宁北方戴纳索合成橡胶有限公司,辽宁北方戴纳索合成橡胶有限公司,47,辽宁北方戴纳索合成橡胶有限公司,辽宁北方戴纳索合成橡胶有限公司,23,辽宁,辽宁,100
11581,000061.SZ,农产品,广州华泽包装设备有限公司,广州华泽包装设备有限公司,11,广州华泽包装设备有限公司,广州华泽包装设备有限公司,4,广州,广州,100
11842,000061.SZ,农产品,深圳市俊隆果菜农业技术开发有限公司,深圳市俊隆果菜农业技术开发有限公司,22,深圳市俊隆果菜农业技术开发有限公司,深圳市俊隆果菜农业技术开发有限公司,12,深圳,深圳,100
12029,000061.SZ,农产品,深圳市绿膳谷农业创新发展有限公司,深圳市绿膳谷农业创新发展有限公司,30,深圳市绿膳谷农业创新发展有限公司,深圳市绿膳谷农业创新发展有限公司,15,深圳,深圳,100
12267,000061.SZ,农产品,黄春城,黄春城,40,黄春城,黄春城,23,,,100
12446,000065.SZ,北方国际,Punjab  Masstransit Authority(PMA),Punjab  Masstransit Authority(PMA),7,Punjab Masstransit Authority(PMA),Punjab Masstransit Authority(PMA),5,,,97
12447,000065.SZ,北方国际,Punjab  Masstransit Authority(PMA),Punjab  Masstransit Authority(PMA),7,PunjabMasstransitAuthority(PMA),PunjabMasstransitAuthority(PMA),6,,,90
12475,000065.SZ,北方国际,Punjab Masstransit Authority,Punjab Masstransit Authority,8,Punjab Masstransit Authority(PMA),Punjab Masstransit Authority(PMA),5,,,100
12476,000065.SZ,北方国际,Punjab Masstransit Authority,Punjab Masstransit Authority,8,PunjabMasstransitAuthority(PMA),PunjabMasstransitAuthority(PMA),6,,,93
12504,000065.SZ,北方国际,PunjabMasstransit Authority,PunjabMasstransit Authority,9,Punjab Masstransit Authority(PMA),Punjab Masstransit Authority(PMA),5,,,96
12505,000065.SZ,北方国际,PunjabMasstransit Authority,PunjabMasstransit Authority,9,PunjabMasstransitAuthority(PMA),PunjabMasstransitAuthority(PMA),6,,,96
12533,000065.SZ,北方国际,PunjabMasstransitAuthority,PunjabMasstransitAuthority,10,Punjab Masstransit Authority(PMA),Punjab Masstransit Authority(PMA),5,,,92
12534,000065.SZ,北方国际,PunjabMasstransitAuthority,PunjabMasstransitAuthority,10,PunjabMasstransitAuthority(PMA),PunjabMasstransitAuthority(PMA),6,,,100
12622,000065.SZ,北方国际,RPCL-NORINCOINTLPOWERLIMITED,RPCL-NORINCOINTLPOWERLIMITED,13,RPCL-NORINCOINTLPOWERLIMITED,RPCL-NORINCOINTLPOWERLIMITED,7,,,100
12655,000065.SZ,北方国际,SEGILOLA RESOURCES OPERATING LIMITED,SEGILOLA RESOURCES OPERATING LIMITED,14,SEGILOLARESOURCESOPERATINGLIMITED,SEGILOLARESOURCESOPERATINGLIMITED,11,,,91
12684,000065.SZ,北方国际,SEGILOLARESOURCESOPERATINGLIMITED,SEGILOLARESOURCESOPERATINGLIMITED,15,SEGILOLARESOURCESOPERATINGLIMITED,SEGILOLARESOURCESOPERATINGLIMITED,11,,,100
12685,000065.SZ,北方国际,SEGILOLARESOURCESOPERATINGLIMITED,SEGILOLARESOURCESOPERATINGLIMITED,15,SEGOLOLARESOURCESOPERATINGLIMITED,SEGOLOLARESOURCESOPERATINGLIMITED,12,,,97
12744,000065.SZ,北方国际,SKYRICHSTARLIMITED,SKYRICHSTARLIMITED,17,SKYRICHSTARLIMITED,SKYRICHSTARLIMITED,13,,,100
12865,000065.SZ,北方国际,中国北方工业有限公司,中国北方工业有限公司,21,中国北方工业有限公司,中国北方工业有限公司,18,,,100
12982,000065.SZ,北方国际,伊朗德黑兰城郊铁路公司,伊朗德黑兰城郊铁路公司,25,伊朗德黑兰城郊铁路公司,伊朗德黑兰城郊铁路公司,19,,,100
13130,000065.SZ,北方国际,埃塞俄比亚电力公司,埃塞俄比亚电力公司,30,埃塞俄比亚电力公司,埃塞俄比亚电力公司,22,,,100
13160,000065.SZ,北方国际,埃塞俄比亚铁路公司,埃塞俄比亚铁路公司,31,埃塞俄比亚铁路公司,埃塞俄比亚铁路公司,23,,,100
13273,000065.SZ,北方国际,德黑兰轨道车辆制造公司,德黑兰轨道车辆制造公司,35,伊朗德黑兰轨道车辆制造公司,伊朗德黑兰轨道车辆制造公司,20,,,100
13278,000065.SZ,北方国际,德黑兰轨道车辆制造公司,德黑兰轨道车辆制造公司,35,德黑兰轨道车辆制造公司,德黑兰轨道车辆制造公司,25,,,100
13514,000065.SZ,北方国际,老挝国家电力公司,老挝国家电力公司,43,老挝国家电力公司,老挝国家电力公司,29,,,100
13543,000065.SZ,北方国际,老挝国家电力公司(EDL),老挝国家电力公司(EDL),44,老挝国家电力公司,老挝国家电力公司,29,,,100
13640,000066.SZ,中国长城,F,F,4,STARTECH PACIFIC LIMITED,STARTECH PACIFIC LIMITED,3,,,100
13650,000066.SZ,中国长城,G,G,5,PHILIPS ELECTRONICS SINGAPORE PTE LTD.,PHILIPS ELECTRONICS SINGAPORE PTE LTD.,1,,,100
13651,000066.SZ,中国长城,G,G,5,Procter & Gamble International Operations SA,Procter & Gamble International Operations SA,2,,,100
13764,000066.SZ,中国长城,中软信息系统工程有限公司,中软信息系统工程有限公司,14,中软信息系统工程有限公司,中软信息系统工程有限公司,7,,,100
13789,000066.SZ,中国长城,宏碁股份有限公司,宏碁股份有限公司,16,宏碁股份有限公司,宏碁股份有限公司,8,,,100
13840,000066.SZ,中国长城,浪潮电子信息产业股份有限公司,浪潮电子信息产业股份有限公司,20,浪潮电子信息产业股份有限公司,浪潮电子信息产业股份有限公司,11,,,100
13925,000068.SZ,华控赛格,北京中环嘉诚环境工程有限公司,北京中环嘉诚环境工程有限公司,8,北京中环嘉诚环境工程有限公司,北京中环嘉诚环境工程有限公司,1,北京,北京,100
13936,000068.SZ,华控赛格,北京清华同衡规划设计研究院有限公司,北京清华同衡规划设计研究院有限公司,10,北京清华同衡规划设计研究院有限公司,北京清华同衡规划设计研究院有限公司,2,北京,北京,100
13978,000068.SZ,华控赛格,深圳市佰德瑞科技有限公司,深圳市佰德瑞科技有限公司,18,深圳市佰德瑞科技有限公司,深圳市佰德瑞科技有限公司,4,深圳,深圳,100
14100,000070.SZ,ST特信,华为技术有限公司,华为技术有限公司,19,华为技术有限公司,华为技术有限公司,1,,,100
14122,000070.SZ,ST特信,深圳市中兴康讯电子有限公司,深圳市中兴康讯电子有限公司,23,深圳市中兴康讯电子有限公司,深圳市中兴康讯电子有限公司,3,深圳,深圳,100
14128,000070.SZ,ST特信,深圳市友华通信技术有限公司,深圳市友华通信技术有限公司,24,深圳市友华通信技术有限公司,深圳市友华通信技术有限公司,4,深圳,深圳,100
14149,000070.SZ,ST特信,烽火通信科技股份有限公司,烽火通信科技股份有限公司,28,烽火通信科技股份有限公司,烽火通信科技股份有限公司,5,,,100
14175,000078.SZ,海王生物,南阳市中心医院,南阳市中心医院,3,南阳市中心医院,南阳市中心医院,1,南阳,南阳,100
14196,000078.SZ,海王生物,威海市立医院,威海市立医院,7,威海市立医院,威海市立医院,2,威海,威海,100
14242,000078.SZ,海王生物,滕州市中心人民医院,滕州市中心人民医院,16,滕州市中心人民医院,滕州市中心人民医院,3,,,100
14263,000078.SZ,海王生物,潍坊市人民医院,潍坊市人民医院,20,潍坊市人民医院,潍坊市人民医院,4,潍坊,潍坊,100
14294,000078.SZ,海王生物,郑州大学第一附属医院,郑州大学第一附属医院,26,郑州大学第一附属医院,郑州大学第一附属医院,5,郑州,郑州,100
14310,000088.SZ,盐田港,1中海油惠州石化有限公司,1中海油惠州石化有限公司,1,中海油惠州石化有限公司,中海油惠州石化有限公司,1,惠州,惠州,100
14349,000088.SZ,盐田港,中海油惠州石化有限公司,中海油惠州石化有限公司,4,中海油惠州石化有限公司,中海油惠州石化有限公司,1,惠州,惠州,100
14402,000088.SZ,盐田港,国胜物流有限公司,国胜物流有限公司,8,国胜物流有限公司,国胜物流有限公司,2,,,100
14412,000088.SZ,盐田港,国胜物流有限公司,国胜物流有限公司,8,阳新县棋盘洲国胜物流有限公司,阳新县棋盘洲国胜物流有限公司,12,,,100
14459,000088.SZ,盐田港,广东省联合电子服务股份有限公司,广东省联合电子服务股份有限公司,12,广东联合电子服务股份有限公司,广东联合电子服务股份有限公司,7,广东,广东,93
14469,000088.SZ,盐田港,广东粤电大埔发电有限公司,广东粤电大埔发电有限公司,13,广东粤电大埔发电有限公司,广东粤电大埔发电有限公司,4,广东,广东,100
