,wind_code,sec_name,ar_by_buyer_name,ar_buyer_standard,ar_buyer_subid,cus_name,cus_name_standard,cus_name_subid,ar_buyer_region,cus_region,match_score
741437,688117.SH,圣诺生物,深圳市全药网药业有限公司,深圳市全药网药业有限公司,18,深圳市全药网药业有限公司,深圳市全药网药业有限公司,12,深圳,深圳,100
741449,688118.SH,普元信息,上海黄金交易所,上海黄金交易所,2,上海黄金交易所,上海黄金交易所,1,上海,上海,100
741472,688118.SH,普元信息,中国邮政集团公司,中国邮政集团公司,4,中国邮政集团公司,中国邮政集团公司,4,,,100
741515,688118.SH,普元信息,华夏人寿保险股份有限公司,华夏人寿保险股份有限公司,8,华夏人寿保险股份有限公司,华夏人寿保险股份有限公司,7,,,100
741526,688118.SH,普元信息,国家开发银行股份有限公司,国家开发银行股份有限公司,9,国家开发银行,国家开发银行,8,,,100
741610,688119.SH,中钢洛耐,Simonsen A/S,Simonsen A/S,1,Simonsen A/S,Simonsen A/S,2,,,100
741611,688119.SH,中钢洛耐,Simonsen A/S,Simonsen A/S,1,SimonsenA/S,SimonsenA/S,3,,,91
741630,688119.SH,中钢洛耐,SimonsenA/S,SimonsenA/S,2,Simonsen A/S,Simonsen A/S,2,,,91
741631,688119.SH,中钢洛耐,SimonsenA/S,SimonsenA/S,2,SimonsenA/S,SimonsenA/S,3,,,100
741754,688119.SH,中钢洛耐,中国五矿集团有限公司,中国五矿集团有限公司,8,中国五矿集团有限公司,中国五矿集团有限公司,6,,,100
741776,688119.SH,中钢洛耐,中国宝武钢铁集团有限公司,中国宝武钢铁集团有限公司,9,中国宝武钢铁集团有限公司,中国宝武钢铁集团有限公司,8,,,100
741838,688119.SH,中钢洛耐,信阳钢铁金港能源有限公司,信阳钢铁金港能源有限公司,12,信阳钢铁金港能源有限公司,信阳钢铁金港能源有限公司,10,信阳,信阳,100
741943,688119.SH,中钢洛耐,广西翅冀钢铁有限公司,广西翅冀钢铁有限公司,17,广西翅冀钢铁有限公司,广西翅冀钢铁有限公司,15,,,100
742146,688120.SH,华海清科,睿力集成电路有限公司,睿力集成电路有限公司,11,睿力集成电路有限公司,睿力集成电路有限公司,8,,,100
742182,688120.SH,华海清科,长江存储科技有限责任公司,长江存储科技有限责任公司,14,长江存储,长江存储,11,,,100
742232,688121.SH,卓然股份,中国航空技术北京有限公司,中国航空技术北京有限公司,4,中国航空技术北京有限公司,中国航空技术北京有限公司,5,北京,北京,100
742298,688121.SH,卓然股份,浙江石油化工有限公司,浙江石油化工有限公司,8,浙江石油化工有限公司,浙江石油化工有限公司,11,浙江,浙江,100
742314,688121.SH,卓然股份,濮阳市远东科技有限公司,濮阳市远东科技有限公司,9,濮阳远东科技有限公司,濮阳远东科技有限公司,12,濮阳,濮阳,90
742330,688121.SH,卓然股份,神木富油能源科技有限公司,神木富油能源科技有限公司,10,神木富油能源科技有限公司,神木富油能源科技有限公司,13,,,100
742362,688121.SH,卓然股份,黑龙江省龙油石油化工股份有限公司,黑龙江省龙油石油化工股份有限公司,12,黑龙江省龙油石油化工股份有限公司,黑龙江省龙油石油化工股份有限公司,15,黑龙江,黑龙江,100
742364,688122.SH,西部超导,中国国际核聚变能源计划执行中心,中国国际核聚变能源计划执行中心,1,中国国际核聚变能源计划执行中心,中国国际核聚变能源计划执行中心,2,,,100
742373,688122.SH,西部超导,中国第二重型机械集团(德阳)万航模锻有限责任公司,中国第二重型机械集团(德阳)万航模锻有限责任公司,2,中国第二重型机械集团德阳万航模锻有限责任公司,中国第二重型机械集团德阳万航模锻有限责任公司,3,德阳,德阳,91
742381,688122.SH,西部超导,中国第二重型机械集团德阳万航模锻有限责任公司,中国第二重型机械集团德阳万航模锻有限责任公司,3,中国第二重型机械集团德阳万航模锻有限责任公司,中国第二重型机械集团德阳万航模锻有限责任公司,3,德阳,德阳,100
742390,688122.SH,西部超导,中国航空工业集团下属公司,中国航空工业集团下属公司,4,中国航空工业集团下属公司,中国航空工业集团下属公司,4,,,100
742407,688122.SH,西部超导,中国船舶重工集团下属公司,中国船舶重工集团下属公司,6,中国船舶重工集团下属公司,中国船舶重工集团下属公司,5,,,100
742432,688122.SH,西部超导,江西航钛航天材料有限公司,江西航钛航天材料有限公司,9,江西航钛航天材料有限公司,江西航钛航天材料有限公司,6,江西,江西,100
742449,688122.SH,西部超导,沈阳汉恒润经贸有限公司等7家关联公司,沈阳汉恒润经贸有限公司等7家关联公司,11,沈阳汉恒润经贸有限公司等7家关联公司,沈阳汉恒润经贸有限公司等7家关联公司,7,沈阳,沈阳,100
742466,688122.SH,西部超导,西安三角防务股份有限公司,西安三角防务股份有限公司,13,西安三角防务股份有限公司,西安三角防务股份有限公司,8,西安,西安,100
742534,688123.SH,聚辰股份,上海柏建电子科技有限公司,上海柏建电子科技有限公司,7,上海柏建电子科技有限公司,上海柏建电子科技有限公司,4,上海,上海,100
742543,688123.SH,聚辰股份,上海算科电子有限公司,上海算科电子有限公司,8,上海算科电子有限公司,上海算科电子有限公司,5,上海,上海,100
742553,688123.SH,聚辰股份,深圳市奥怡轩实业有限公司,深圳市奥怡轩实业有限公司,9,深圳市奥怡轩实业有限公司,深圳市奥怡轩实业有限公司,7,深圳,深圳,100
742570,688123.SH,聚辰股份,深圳市智嘉电子有限公司,深圳市智嘉电子有限公司,11,深圳市智嘉电子有限公司,深圳市智嘉电子有限公司,8,深圳,深圳,100
742571,688125.SH,安达智能,Apple Inc.,Apple Inc.,1,Apple Inc.,Apple Inc.,1,,,100
742579,688125.SH,安达智能,Apple inc.,Apple inc.,2,Apple Inc.,Apple Inc.,1,,,90
742588,688125.SH,安达智能,FLEXTRONICS TECHNOLOGY,FLEXTRONICS TECHNOLOGY,3,FLEXTRONICS TECHNOLOGY,FLEXTRONICS TECHNOLOGY,2,,,100
742621,688125.SH,安达智能,广达电脑股份有限公司,广达电脑股份有限公司,7,广达电脑股份有限公司,广达电脑股份有限公司,3,,,100
742630,688125.SH,安达智能,歌尔股份有限公司,歌尔股份有限公司,8,歌尔股份有限公司,歌尔股份有限公司,4,,,100
742648,688125.SH,安达智能,深圳市岙拓科技有限公司,深圳市岙拓科技有限公司,10,深圳市岙拓科技有限公司,深圳市岙拓科技有限公司,6,深圳,深圳,100
742657,688125.SH,安达智能,立讯精密工业股份有限公司,立讯精密工业股份有限公司,11,立讯精密工业股份有限公司,立讯精密工业股份有限公司,7,,,100
742666,688125.SH,安达智能,蓝思科技股份有限公司,蓝思科技股份有限公司,12,蓝思科技股份有限公司,蓝思科技股份有限公司,8,,,100
742667,688126.SH,沪硅产业,C001,C001,1,C001,C001,1,,,100
742673,688126.SH,沪硅产业,C002,C002,2,C002,C002,2,,,100
742680,688126.SH,沪硅产业,C004,C004,3,C004,C004,4,,,100
742686,688126.SH,沪硅产业,C005,C005,4,C005,C005,5,,,100
742739,688127.SH,蓝特光学,"Corning Specialty Materials, Inc.","Corning Specialty Materials, Inc.",2,Corning,Corning,2,,,100
742792,688127.SH,蓝特光学,宁波舜宇电子有限公司,宁波舜宇电子有限公司,5,宁波舜宇电子有限公司,宁波舜宇电子有限公司,7,宁波,宁波,100
742827,688127.SH,蓝特光学,昆明腾洋光学仪器有限公司,昆明腾洋光学仪器有限公司,7,昆明腾洋光学仪器有限公司,昆明腾洋光学仪器有限公司,10,昆明,昆明,100
